nome,area,publico_alvo,quando,onde,edicoes_anteriores,link_oficial,fonte
ESG Congress 2026,ESG,"Executivos, líderes ESG, investidores",Abril de 2026 (datas a confirmar no site),"Berlin, Alemanha",Realizado anualmente em Berlim (pelo menos 5 edições anteriores),https://esg-congress.com/,Site oficial
"The Twenty-Second International Conference on Environmental, Cultural, Economic & Social Sustainability (On Sustainability)",Sustentabilidade,"Acadêmicos, pesquisadores, formuladores de políticas",2026 (ver programação no site),A definir (rede On Sustainability),21 edições anteriores,https://onsustainability.com/2026-conference,Site oficial
National Diversity & Leadership Conference 2026,Diversidade e Inclusão,"Líderes de DEI, RH, executivos",7–10 de abril de 2026,Evento virtual (segundo site),21 edições anteriores,https://nationaldiversityconference.com/2026/about/conference-overview/,Site oficial
Líderes Sustentáveis 2026,Sustentabilidade Corporativa,"Executivos, empreendedores, setor público",21–22 de abril de 2026,"Gramado, RS, Brasil",Edições anteriores no RS (consultar site),https://www.lideressustentaveis.com.br/,Site oficial
Corporate Citizenship Summit 2026 (The Conference Board),ESG,"Executivos de sustentabilidade, cidadania corporativa",2026 (datas a confirmar),A definir (EUA),Evento anual do The Conference Board,https://www.conference-board.org/events/corporate-responsibility,Site oficial
ENSURE 2026 – Environmental Sustainability Through Waste and Recycling,Sustentabilidade,"Pesquisadores, gestores públicos, indústria de resíduos",13–15 de abril de 2026,"Boston, MA, EUA",3 edições anteriores,https://ensure.unitedscientificgroup.org/,Site oficial
"The Twenty-Sixth International Conference on Diversity in Organizations, Communities & Nations",Diversidade e Inclusão,"Acadêmicos, profissionais de DEI, setor público",2026 (datas no site),A definir (rede On Diversity),25 edições anteriores,https://ondiversity.com/2026-conference,Site oficial
Eta Sigma Gamma 2026 Annual Meeting (com SOPHE 2026),Socioambiental,"Saúde pública, educadores, ONGs",22–24 de abril de 2026,"Portland, Oregon, EUA",Anual (associado ao SOPHE),https://etasigmagamma.org/eventcalendar,Site oficial
Sustainability Week USA 2026 – Economist Impact,Sustentabilidade Corporativa,"Executivos, investidores, setor público",2026 (site indica Nova York),"Nova York, EUA",Edições anteriores anuais (2021–2025),https://events.economist.com/sustainability-week-usa/,Site oficial
EarthX 2026 – Congress of Conferences,Sustentabilidade,"Setor público, empresas, sociedade civil",20–22 de abril de 2026 (site indica 5 dias de programação),"Dallas, Texas, EUA",EarthX anual desde 2011,https://earthx.org/,Site oficial
NADOHE 2026 Annual Conference,Diversidade e Inclusão,"DEI no ensino superior, reitores, gestores acadêmicos",25–28 de março de 2026,"Philadelphia, PA, EUA",Anual,https://www.nadohe.org/articles/2026-annual-conference,Site oficial
Hamburg Sustainability Conference 2026,Sustentabilidade,"Empresas, setor público, academia, sociedade civil",29–30 de junho de 2026,"Hamburgo, Alemanha","2 edições anteriores (2023, 2024/2025)",https://www.sustainability-conference.org/en/,Site oficial
Sustainable Brands SB’26 San Diego,Sustentabilidade Corporativa,"Marcas, marketing, inovação, sustentabilidade",8–11 de junho de 2026,"San Diego, CA, EUA",Edição anual (diversas),https://sustainablebrands.com/events,Site oficial
GreenBiz 26,Sustentabilidade Corporativa,Profissionais de sustentabilidade corporativa,17–19 de fevereiro de 2026 (segundo calendário ETCC),"Phoenix, AZ, EUA",Anual,https://etcc-ca.com/other-events,Agenda setorial (ETCC)
Net Zero USA 2026 – Reuters Events,Sustentabilidade / Clima,"Executivos, diretores de sustentabilidade, energia",2026 (West Coast – datas a confirmar),"Costa Oeste, EUA (cidade a confirmar)",Edições anteriores 2023–2025,https://events.reutersevents.com/sustainable-business/net-zero-usa/,Site oficial
Trellis Impact 26 (VERGE + Bloom + GreenFin + Circularity),Sustentabilidade / Climate Tech / Finanças,"Startups, investidores, líderes de sustentabilidade",23–25 de junho de 2026,"Moscone Center, San Francisco, EUA",Evolução das séries GreenBiz/VERGE/GreenFin,https://trellis.net/events/trellis-impact/trellis-impact-26/,Site do organizador
